F1,F2,F3,F4,F5,F6,F7,Target
3.75,c,0,46.0,,2,1.7688,no
9.51,b,,46.0,high,4,0.2532,yes
,a,1,50.0,low,6,-0.4583,yes
5.99,b,1,29.0,high,,-1.9361,no
1.56,b,0,47.0,low,6,-1.0764,yes
1.56,b,1,,high,2,-1.0359,no
0.58,b,0,35.0,low,3,0.7331,no
8.66,a,0,34.0,high,5,0.44,no
7.74,a,0,,low,4,1.9051,yes
,c,0,,low,5,0.0356,yes
8.59,a,1,23.0,low,4,1.7537,yes
6.97,a,1,31.0,,2,-0.0933,no
0.94,,0,36.0,high,6,0.1311,no
9.76,c,1,,low,5,0.3655,yes
7.61,a,1,55.0,low,6,3.1789,yes
7.86,b,1,49.0,low,6,,yes
1.28,b,0,32.0,high,,-0.7073,no
4.50,c,0,43.0,high,,0.9690,yes
3.71,b,0,37.0,,3,-0.3618,yes
9.27,a,1,38.0,low,6,-0.4898,yes
6.44,a,1,41.0,low,4,,yes
8.23,b,1,45.0,low,,0.0311,yes
4.43,a,0,37.0,high,6,0.2786,no
2.27,b,0,49.0,high,5,,no
5.55,a,,31.0,high,6,0.3366,no
0.64,b,1,40.0,high,6,0.4250,no
8.28,b,0,60.0,,2,-1.9370,no
6.32,b,1,42.0,high,3,0.6666,yes
7.58,a,1,51.0,high,5,-0.9820,yes
3.55,c,0,41.0,low,6,-1.4423,no
9.71,b,0,45.0,low,,-0.0584,yes
8.93,b,0,40.0,high,3,0.0840,yes
7.78,a,1,39.0,,4,-0.6935,yes
1.95,a,,34.0,low,5,0.8310,yes
4.67,c,0,43.0,high,2,-1.3422,yes
0.44,b,0,33.0,low,5,-0.4069,no
1.54,b,1,45.0,high,3,-0.5849,no
6.83,b,0,49.0,high,3,-0.0466,yes
7.45,,0,43.0,low,4,0.2789,no
9.68,c,0,38.0,high,4,-1.0079,yes
3.26,b,0,44.0,,5,0.7243,yes
3.70,c,0,38.0,high,3,0.0630,yes
4.70,,1,47.0,low,6,-1.8919,no
1.89,b,1,25.0,high,2,,no
1.30,b,1,37.0,,6,-0.0123,no
,a,1,24.0,high,2,-0.2210,yes
2.27,a,1,28.0,low,5,-0.1034,no
6.70,,0,51.0,low,,-0.0280,yes
4.37,c,0,47.0,high,3,0.2256,yes
8.33,b,1,34.0,low,2,0.9476,no
7.00,c,0,28.0,low,5,-1.1111,yes
3.12,c,1,22.0,low,2,-1.1720,yes
8.32,b,1,36.0,low,,-1.0933,yes
8.05,b,0,59.0,low,5,0.2889,yes
3.87,a,1,43.0,low,6,1.2449,no
2.88,a,1,36.0,high,5,-0.4313,no
6.82,c,0,44.0,low,3,-2.5017,yes
,b,0,28.0,low,5,-1.7040,no
2.00,b,1,38.0,low,6,-0.8330,no
0.07,b,1,41.0,high,3,,yes
7.87,b,0,39.0,,2,-0.4084,no
6.65,c,1,46.0,high,6,0.0386,yes
,b,0,43.0,high,2,-0.3117,yes
,b,1,45.0,high,4,1.0493,yes
4.59,b,1,34.0,high,,-0.6760,yes
5.69,b,0,47.0,low,2,-0.8623,no
,b,1,,high,5,0.4789,yes
1.15,c,1,32.0,low,2,-1.5356,no
6.68,b,1,33.0,high,5,0.3897,yes
4.71,b,0,51.0,high,5,0.1026,yes
5.65,b,0,38.0,high,2,-0.1474,no
,b,,,high,2,1.5883,no
6.35,c,0,,low,5,,no
5.54,a,0,52.0,high,4,2.0603,yes
5.59,a,1,,high,,-0.2254,yes
3.04,b,1,42.0,high,6,-1.2770,no
0.31,a,1,53.0,low,3,0.0699,no
4.37,c,0,37.0,,2,-1.0762,yes
2.15,b,0,32.0,low,6,-0.7518,no
4.09,a,1,36.0,low,2,0.3970,yes
8.53,c,0,,low,4,0.5556,yes
2.34,a,1,27.0,high,6,-0.6222,yes
0.58,b,1,45.0,low,4,0.9874,no
2.81,a,0,,low,4,1.1575,no
2.94,a,0,49.0,low,,1.4363,no
6.62,a,,22.0,high,2,0.5294,yes
5.57,a,0,34.0,low,,1.3634,yes
7.84,a,0,27.0,high,,-1.8808,no
6.64,a,1,33.0,high,2,-0.3179,yes
4.06,b,1,42.0,high,6,,yes
8.14,b,,39.0,high,4,0.1192,yes
1.67,,1,38.0,low,4,-0.5714,yes
0.23,b,1,39.0,low,2,-0.1662,no
0.90,b,,42.0,low,5,1.8822,yes
7.22,c,0,32.0,high,2,-0.1697,yes
4.62,c,1,46.0,,3,0.4138,yes
1.61,a,,45.0,high,5,-0.2323,yes
5.01,a,0,43.0,low,2,,yes
1.52,b,1,,,4,0.0060,yes
6.96,b,1,42.0,low,4,0.4483,yes
4.46,b,1,56.0,low,,1.1653,no
3.81,b,1,,low,3,1.6474,yes
3.02,a,0,38.0,,3,,no
6.30,b,1,34.0,low,5,0.5895,no
,b,1,32.0,high,6,-1.1509,yes
0.88,a,1,30.0,low,6,-0.0879,yes
1.18,c,1,33.0,low,2,0.9403,no
9.62,a,,39.0,high,2,0.8660,yes
9.09,c,0,43.0,high,2,0.2116,yes
7.00,a,0,40.0,,,0.8864,no
2.66,c,0,34.0,,,,yes
9.69,c,0,47.0,low,3,1.2003,yes
,c,0,,high,,0.2894,yes
7.17,c,0,39.0,low,6,-0.3557,yes
4.49,b,1,35.0,high,6,0.3358,yes
2.72,b,1,44.0,low,3,-2.9306,no
0.96,b,1,42.0,high,5,0.3829,no
9.03,a,1,28.0,low,5,-3.6484,no
4.56,b,1,39.0,high,2,-1.7235,yes
,b,1,42.0,high,4,0.4518,yes
3.06,c,0,33.0,low,4,0.4775,yes
5.79,b,1,,low,3,-1.1624,no
1.77,b,0,28.0,high,5,-0.7121,yes
8.57,,0,51.0,low,5,1.3705,yes
,,1,,low,4,-0.4840,yes
7.19,a,1,38.0,low,5,2.2429,yes
4.32,b,0,43.0,low,5,-0.0019,no
6.27,b,0,22.0,,4,0.4080,yes
5.84,b,,31.0,low,,1.6169,no
6.50,b,0,38.0,low,5,0.1310,yes
,b,,,,,,no
4.16,b,1,46.0,low,6,-0.1097,yes
0.42,b,,56.0,,2,-0.0356,no
4.94,b,1,31.0,high,4,-1.3647,no
,b,1,33.0,low,,-0.2558,no
1.45,c,1,42.0,low,4,,no
1.03,c,1,53.0,low,6,0.9244,yes
5.88,b,0,30.0,,,0.0346,yes
,b,0,,low,,-0.2828,no
9.25,b,1,55.0,low,,-0.1062,yes
5.81,c,0,27.0,,3,0.2231,no
3.47,b,0,30.0,low,4,0.6168,no
,c,0,37.0,low,4,-0.9997,no
0.23,b,1,36.0,low,4,-1.0416,no
9.59,b,0,47.0,high,6,1.1047,yes
4.82,b,1,42.0,high,2,-0.4123,yes
7.83,b,0,26.0,low,5,-1.4168,yes
0.83,b,0,44.0,high,6,0.4438,no
4.87,,0,35.0,high,5,0.4634,yes
4.91,c,0,50.0,low,3,-1.5307,no
,a,1,35.0,low,,0.2295,yes
5.72,b,0,35.0,low,5,0.7356,no
4.73,a,0,44.0,high,4,0.3744,no
2.67,b,1,46.0,low,2,,no
3.32,a,,44.0,high,3,-1.4043,yes
5.21,c,0,27.0,low,6,0.3310,yes
,a,1,44.0,high,3,,yes
0.22,c,1,32.0,high,2,-0.4828,no
8.26,c,0,42.0,low,5,0.8706,yes
8.96,b,1,29.0,low,2,1.4793,yes
